"NPI","Resource ID","Name","References List"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-0","Seth Zboncak","['9999177926', '9995338232', '9995131442']"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-1","Seth Zboncak","['9999177926', '9995338232', '9995131442']"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-2","Seth Zboncak","['9999177926', '9995338232', '9995131442']"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-0","Taylor Feil","['9999177926', '9995338232']"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-1","Taylor Feil","['9999177926', '9995338232']"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-0","Pablo Navarro","['9998062387', '9999670259']"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-1","Pablo Navarro","['9998062387', '9999670259']"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-0","Foster Shanahan","['9999177926']"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-0","Felipe Chávez","['9998864828', '9991892344']"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-1","Felipe Chávez","['9998864828', '9991892344']"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-0","Dwayne Hoppe","['9991692366', '9998062387', '9999670259']"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-1","Dwayne Hoppe","['9991692366', '9998062387', '9999670259']"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-2","Dwayne Hoppe","['9991692366', '9998062387', '9999670259']"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-0","Darron Dibbert","['9999177926', '9995338232', '9995131442']"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-1","Darron Dibbert","['9999177926', '9995338232', '9995131442']"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-2","Darron Dibbert","['9999177926', '9995338232', '9995131442']"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-0","Nolan Powlowski","['9999177926', '9995338232', '9995131442']"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-1","Nolan Powlowski","['9999177926', '9995338232', '9995131442']"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-2","Nolan Powlowski","['9999177926', '9995338232', '9995131442']"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-0","Clemente Cadena","['9995731321', '9999278250', '9996441719']"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-1","Clemente Cadena","['9995731321', '9999278250', '9996441719']"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-2","Clemente Cadena","['9995731321', '9999278250', '9996441719']"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-0","Irene Correa","['9997659264', '9994427431']"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-1","Irene Correa","['9997659264', '9994427431']"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-0","Pedro Mayorga","['9998864828', '9991892344']"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-1","Pedro Mayorga","['9998864828', '9991892344']"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-0","Alonso Quigley","['9997659264', '9994427431', '9995630533']"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-1","Alonso Quigley","['9997659264', '9994427431', '9995630533']"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-2","Alonso Quigley","['9997659264', '9994427431', '9995630533']"
"9993011145","PractitionerRole/vhdir-practitionerrole-9993011145-0","Houston Rowe","['9999177926', '9995338232', '9995131442']"
"9993011145","PractitionerRole/vhdir-practitionerrole-9993011145-1","Houston Rowe","['9999177926', '9995338232', '9995131442']"
"9993011145","PractitionerRole/vhdir-practitionerrole-9993011145-2","Houston Rowe","['9999177926', '9995338232', '9995131442']"
"9994920121","PractitionerRole/vhdir-practitionerrole-9994920121-0","Javier Moreno","['9992607537']"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-0","Randell Hammes","['9991692366', '9991892344']"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-1","Randell Hammes","['9991692366', '9991892344']"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-0","Glenn Streich","['9992607537']"
"9991990013","PractitionerRole/vhdir-practitionerrole-9991990013-0","Winfred Ward","['9998269624']"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-0","Sancho Montañez","['9998269624', '9992006923']"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-1","Sancho Montañez","['9998269624', '9992006923']"
"9994627184","PractitionerRole/vhdir-practitionerrole-9994627184-0","Ariadna Marroquín","['9995935572']"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-0","Yasmine Kuhic","['9997552602', '9999774646', '9990789741']"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-1","Yasmine Kuhic","['9997552602', '9999774646', '9990789741']"
