"NPI","Resource ID","Name","References List"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-0","Edmond Lang","9999177926"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-1","Edmond Lang","9995338232"
"9995334207","PractitionerRole/vhdir-practitionerrole-9995334207-2","Edmond Lang","HPID060000"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-0","Timmy Abshire","9999177926"
"9990283779","PractitionerRole/vhdir-practitionerrole-9990283779-1","Timmy Abshire","HPID040000"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-0","Bernard Metz","9998062387"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-1","Bernard Metz","9999670259"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-2","Bernard Metz","9998863986"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-3","Bernard Metz","HPID020000"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-4","Bernard Metz","HPID030000"
"9992607917","PractitionerRole/vhdir-practitionerrole-9992607917-5","Bernard Metz","HPID010000"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-0","Edison Kertzmann","9999177926"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-1","Edison Kertzmann","9995338232"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-2","Edison Kertzmann","9995131442"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-3","Edison Kertzmann","HPID060000"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-4","Edison Kertzmann","HPID050000"
"9996940463","PractitionerRole/vhdir-practitionerrole-9996940463-5","Edison Kertzmann","HPID040000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-0","Vito Casper","9998864828"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-1","Vito Casper","9991892344"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-2","Vito Casper","9992307530"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-3","Vito Casper","HPID010000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-4","Vito Casper","HPID020000"
"9993011061","PractitionerRole/vhdir-practitionerrole-9993011061-5","Vito Casper","HPID030000"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-0","Lacy Goyette","9991692366"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-1","Lacy Goyette","9998062387"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-2","Lacy Goyette","9999670259"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-3","Lacy Goyette","HPID020000"
"9998667539","PractitionerRole/vhdir-practitionerrole-9998667539-4","Lacy Goyette","HPID010000"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-0","Randy Berge","9999177926"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-1","Randy Berge","9995338232"
"9992001940","PractitionerRole/vhdir-practitionerrole-9992001940-2","Randy Berge","HPID040000"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-0","Rayford Schoen","9999177926"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-1","Rayford Schoen","9995338232"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-2","Rayford Schoen","9995131442"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-3","Rayford Schoen","HPID040000"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-4","Rayford Schoen","HPID060000"
"9990980735","PractitionerRole/vhdir-practitionerrole-9990980735-5","Rayford Schoen","HPID050000"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-0","Erik Friesen","9995731321"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-1","Erik Friesen","9999278250"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-2","Erik Friesen","9996441719"
"9995233261","PractitionerRole/vhdir-practitionerrole-9995233261-3","Erik Friesen","HPID080000"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-0","Isabela Casas","9997659264"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-1","Isabela Casas","9994427431"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-2","Isabela Casas","9995630533"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-3","Isabela Casas","HPID020000"
"9993011228","PractitionerRole/vhdir-practitionerrole-9993011228-4","Isabela Casas","HPID030000"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-0","Fernando Gulgowski","9998864828"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-1","Fernando Gulgowski","9991892344"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-2","Fernando Gulgowski","9992307530"
"9991293834","PractitionerRole/vhdir-practitionerrole-9991293834-3","Fernando Gulgowski","HPID030000"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-0","Damon O&apos;Conner","9997659264"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-1","Damon O&apos;Conner","9994427431"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-2","Damon O&apos;Conner","HPID010000"
"9995031354","PractitionerRole/vhdir-practitionerrole-9995031354-3","Damon O&apos;Conner","HPID030000"
"9993011145","PractitionerRole/vhdir-practitionerrole-9993011145-0","Colby Lueilwitz","9999177926"
"9993011145","PractitionerRole/vhdir-practitionerrole-9993011145-1","Colby Lueilwitz","HPID050000"
"9994920121","PractitionerRole/vhdir-practitionerrole-9994920121-0","Kirk Ratke","9992607537"
"9994920121","PractitionerRole/vhdir-practitionerrole-9994920121-1","Kirk Ratke","9994723478"
"9994920121","PractitionerRole/vhdir-practitionerrole-9994920121-2","Kirk Ratke","9998962430"
"9994920121","PractitionerRole/vhdir-practitionerrole-9994920121-3","Kirk Ratke","HPID020000"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-0","Ramiro Ybarra","9991692366"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-1","Ramiro Ybarra","9991892344"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-2","Ramiro Ybarra","HPID030000"
"9992304172","PractitionerRole/vhdir-practitionerrole-9992304172-3","Ramiro Ybarra","HPID010000"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-0","Armando Abreu","9992607537"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-1","Armando Abreu","9994723478"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-2","Armando Abreu","9998962430"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-3","Armando Abreu","HPID010000"
"9996243557","PractitionerRole/vhdir-practitionerrole-9996243557-4","Armando Abreu","HPID020000"
"9991990013","PractitionerRole/vhdir-practitionerrole-9991990013-0","Jamaal Cartwright","9998269624"
"9991990013","PractitionerRole/vhdir-practitionerrole-9991990013-1","Jamaal Cartwright","HPID050000"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-0","Ronnie Hansen","9998269624"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-1","Ronnie Hansen","9992006923"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-2","Ronnie Hansen","HPID060000"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-3","Ronnie Hansen","HPID040000"
"9997950411","PractitionerRole/vhdir-practitionerrole-9997950411-4","Ronnie Hansen","HPID050000"
"9994627184","PractitionerRole/vhdir-practitionerrole-9994627184-0","Kathline Friesen","9995935572"
"9994627184","PractitionerRole/vhdir-practitionerrole-9994627184-1","Kathline Friesen","HPID020000"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-0","María Cristina Loya","9997552602"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-1","María Cristina Loya","9999774646"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-2","María Cristina Loya","HPID010000"
"9994526172","PractitionerRole/vhdir-practitionerrole-9994526172-3","María Cristina Loya","HPID020000"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-0","Reinaldo Dickinson","9998864828"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-1","Reinaldo Dickinson","9991892344"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-2","Reinaldo Dickinson","9992307530"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-3","Reinaldo Dickinson","HPID010000"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-4","Reinaldo Dickinson","HPID020000"
"9993516068","PractitionerRole/vhdir-practitionerrole-9993516068-5","Reinaldo Dickinson","HPID030000"
"9995233238","PractitionerRole/vhdir-practitionerrole-9995233238-0","Barney Kirlin","9999177926"
"9995233238","PractitionerRole/vhdir-practitionerrole-9995233238-1","Barney Kirlin","HPID060000"
"9995233238","PractitionerRole/vhdir-practitionerrole-9995233238-2","Barney Kirlin","HPID050000"
"9995132226","PractitionerRole/vhdir-practitionerrole-9995132226-0","Felipe Nazario","9992006923"
"9995132226","PractitionerRole/vhdir-practitionerrole-9995132226-1","Felipe Nazario","HPID060000"
"9996142504","PractitionerRole/vhdir-practitionerrole-9996142504-0","Luis Miguel Bermúdez","9998962430"
"9996142504","PractitionerRole/vhdir-practitionerrole-9996142504-1","Luis Miguel Bermúdez","9994723478"
"9996142504","PractitionerRole/vhdir-practitionerrole-9996142504-2","Luis Miguel Bermúdez","HPID030000"
"9996142504","PractitionerRole/vhdir-practitionerrole-9996142504-3","Luis Miguel Bermúdez","HPID020000"
"9991697050","PractitionerRole/vhdir-practitionerrole-9991697050-0","Avery Carter","9995935572"
"9991697050","PractitionerRole/vhdir-practitionerrole-9991697050-1","Avery Carter","HPID010000"
"9994324309","PractitionerRole/vhdir-practitionerrole-9994324309-0","Nida Fadel","9994427431"
"9994324309","PractitionerRole/vhdir-practitionerrole-9994324309-1","Nida Fadel","HPID020000"
"9994324309","PractitionerRole/vhdir-practitionerrole-9994324309-2","Nida Fadel","HPID030000"
"9998567806","PractitionerRole/vhdir-practitionerrole-9998567806-0","Claudia Iglesias","9992006923"
"9998567806","PractitionerRole/vhdir-practitionerrole-9998567806-1","Claudia Iglesias","9998269624"
"9998567806","PractitionerRole/vhdir-practitionerrole-9998567806-2","Claudia Iglesias","HPID060000"
"9998567806","PractitionerRole/vhdir-practitionerrole-9998567806-3","Claudia Iglesias","HPID050000"
"9995536369","PractitionerRole/vhdir-practitionerrole-9995536369-0","Jimmie Koepp","9998269624"
"9995536369","PractitionerRole/vhdir-practitionerrole-9995536369-1","Jimmie Koepp","HPID050000"
"9995536369","PractitionerRole/vhdir-practitionerrole-9995536369-2","Jimmie Koepp","HPID040000"
"9995536369","PractitionerRole/vhdir-practitionerrole-9995536369-3","Jimmie Koepp","HPID060000"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-0","Rodrigo Aguirre","9998962430"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-1","Rodrigo Aguirre","9994723478"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-2","Rodrigo Aguirre","9992607537"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-3","Rodrigo Aguirre","HPID010000"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-4","Rodrigo Aguirre","HPID020000"
"9995637405","PractitionerRole/vhdir-practitionerrole-9995637405-5","Rodrigo Aguirre","HPID030000"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-0","Rena Lynch","9998269624"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-1","Rena Lynch","9992006923"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-2","Rena Lynch","9999177926"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-3","Rena Lynch","HPID060000"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-4","Rena Lynch","HPID050000"
"9990889920","PractitionerRole/vhdir-practitionerrole-9990889920-5","Rena Lynch","HPID040000"
"9991091034","PractitionerRole/vhdir-practitionerrole-9991091034-0","Leticia Toledo","9997659264"
"9991091034","PractitionerRole/vhdir-practitionerrole-9991091034-1","Leticia Toledo","HPID010000"
"9991091034","PractitionerRole/vhdir-practitionerrole-9991091034-2","Leticia Toledo","HPID030000"
"9991091034","PractitionerRole/vhdir-practitionerrole-9991091034-3","Leticia Toledo","HPID020000"
"9996243474","PractitionerRole/vhdir-practitionerrole-9996243474-0","Isreal Weber","9999177926"
"9996243474","PractitionerRole/vhdir-practitionerrole-9996243474-1","Isreal Weber","9995338232"
"9996243474","PractitionerRole/vhdir-practitionerrole-9996243474-2","Isreal Weber","HPID050000"
"9996243474","PractitionerRole/vhdir-practitionerrole-9996243474-3","Isreal Weber","HPID040000"
"9996243474","PractitionerRole/vhdir-practitionerrole-9996243474-4","Isreal Weber","HPID060000"
"9994324390","PractitionerRole/vhdir-practitionerrole-9994324390-0","Alejandro Gracia","9997659264"
"9994324390","PractitionerRole/vhdir-practitionerrole-9994324390-1","Alejandro Gracia","9994427431"
"9994324390","PractitionerRole/vhdir-practitionerrole-9994324390-2","Alejandro Gracia","9995630533"
"9994324390","PractitionerRole/vhdir-practitionerrole-9994324390-3","Alejandro Gracia","HPID010000"
"9994324390","PractitionerRole/vhdir-practitionerrole-9994324390-4","Alejandro Gracia","HPID030000"
"9995435309","PractitionerRole/vhdir-practitionerrole-9995435309-0","Marlin Kshlerin","9992006923"
"9995435309","PractitionerRole/vhdir-practitionerrole-9995435309-1","Marlin Kshlerin","9998269624"
"9995435309","PractitionerRole/vhdir-practitionerrole-9995435309-2","Marlin Kshlerin","9999177926"
"9995435309","PractitionerRole/vhdir-practitionerrole-9995435309-3","Marlin Kshlerin","HPID060000"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-0","Leopoldo Collier","9998269624"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-1","Leopoldo Collier","9992006923"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-2","Leopoldo Collier","9999177926"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-3","Leopoldo Collier","HPID050000"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-4","Leopoldo Collier","HPID060000"
"9994829233","PractitionerRole/vhdir-practitionerrole-9994829233-5","Leopoldo Collier","HPID040000"
"9997556504","PractitionerRole/vhdir-practitionerrole-9997556504-0","Adelia Kub","9998269624"
"9997556504","PractitionerRole/vhdir-practitionerrole-9997556504-1","Adelia Kub","HPID060000"
"9997556504","PractitionerRole/vhdir-practitionerrole-9997556504-2","Adelia Kub","HPID050000"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-0","Mervin Jacobi","9991396014"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-1","Mervin Jacobi","9996245255"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-2","Mervin Jacobi","9990780047"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-3","Mervin Jacobi","HPID020000"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-4","Mervin Jacobi","HPID010000"
"9997556587","PractitionerRole/vhdir-practitionerrole-9997556587-5","Mervin Jacobi","HPID030000"
"9991798906","PractitionerRole/vhdir-practitionerrole-9991798906-0","Sharlene Bayer","9998962430"
"9991798906","PractitionerRole/vhdir-practitionerrole-9991798906-1","Sharlene Bayer","9994723478"
"9991798906","PractitionerRole/vhdir-practitionerrole-9991798906-2","Sharlene Bayer","9992607537"
"9991798906","PractitionerRole/vhdir-practitionerrole-9991798906-3","Sharlene Bayer","HPID030000"
"9991798906","PractitionerRole/vhdir-practitionerrole-9991798906-4","Sharlene Bayer","HPID010000"
"9994920212","PractitionerRole/vhdir-practitionerrole-9994920212-0","Elsa Torp","9998269624"
"9994920212","PractitionerRole/vhdir-practitionerrole-9994920212-1","Elsa Torp","9992006923"
"9994920212","PractitionerRole/vhdir-practitionerrole-9994920212-2","Elsa Torp","HPID050000"
"9994920212","PractitionerRole/vhdir-practitionerrole-9994920212-3","Elsa Torp","HPID040000"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-0","Emilio Salgado","9998762106"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-1","Emilio Salgado","9996643294"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-2","Emilio Salgado","9990188327"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-3","Emilio Salgado","HPID080000"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-4","Emilio Salgado","HPID070000"
"9997859515","PractitionerRole/vhdir-practitionerrole-9997859515-5","Emilio Salgado","HPID090000"
"9992102019","PractitionerRole/vhdir-practitionerrole-9992102019-0","Corrin Erdman","9992006923"
"9992102019","PractitionerRole/vhdir-practitionerrole-9992102019-1","Corrin Erdman","9998269624"
"9992102019","PractitionerRole/vhdir-practitionerrole-9992102019-2","Corrin Erdman","HPID050000"
"9992102019","PractitionerRole/vhdir-practitionerrole-9992102019-3","Corrin Erdman","HPID060000"
"9999374734","PractitionerRole/vhdir-practitionerrole-9999374734-0","Curtis Langworth","9992006923"
"9999374734","PractitionerRole/vhdir-practitionerrole-9999374734-1","Curtis Langworth","9998269624"
"9999374734","PractitionerRole/vhdir-practitionerrole-9999374734-2","Curtis Langworth","9999177926"
"9999374734","PractitionerRole/vhdir-practitionerrole-9999374734-3","Curtis Langworth","HPID050000"
"9998364653","PractitionerRole/vhdir-practitionerrole-9998364653-0","Mandi Kautzer","9999177926"
"9998364653","PractitionerRole/vhdir-practitionerrole-9998364653-1","Mandi Kautzer","9995338232"
"9998364653","PractitionerRole/vhdir-practitionerrole-9998364653-2","Mandi Kautzer","HPID040000"
"9998364653","PractitionerRole/vhdir-practitionerrole-9998364653-3","Mandi Kautzer","HPID060000"
