"NPI","Resource ID","Name","References List"
"prascón19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9998267107","Pablo Rascón, MD"
"aquezada19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9998762411","Adriana Quezada, M.D."
"ccantú19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9997757561","Carlos Cantú, MD"
"charvey19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9990681346","Candie Harvey, M.D."
"cguillen19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9998165055","Carlos Guillen, MD"
"afeil19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9997551398","Adan Feil, MD"
"ybogan19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9995530172","Yong Bogan, MD"
"jalemán19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9993618359","José Eduardo Alemán, M.D."
"vbarrows19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9994227703","Vickey Barrows, M.D."
"sbartoletti19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9998460483","Simon Bartoletti, MD"
"rhoppe19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9999277542","Rosalba Hoppe, MD"
"vpacocha19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9990783645","Veronique Pacocha, CNM"
"ethompson19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9994429056","Edith Thompson, PA"
"jmaggio19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9991490807","Javier Maggio, MD"
"shickle19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9998762122","Saturnina Hickle, OD"
"sjacobi19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9996343305","Spencer Jacobi, MA, DC"
"mmann19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9995238286","Madelaine Mann, PT"
"ddaugherty19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9993419950","Daron Daugherty, M.D."
"ymcglynn19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9993318683","Yolande McGlynn, PA"
"kleannon19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9994727149","Kimberly Leannon, NP"
"acormier19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9999075254","Azucena Cormier, MD"
"bdietrich19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9992601860","Bradley Dietrich, M.D."
"bterry19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9997052703","Brady Terry, M.D."
"nkoelpin19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9991893433","Nancee Koelpin, MD"
"mcollins19640619","PractitionerRole/vhdir-ma-gic-ppo-practitionerrole-9991691475","Maureen Collins, PSY.D."
